iter	Passed	Remaining
0	0	88
1	1	78
2	2	74
3	2	69
4	3	68
5	4	67
6	4	66
7	5	65
8	6	65
9	7	63
10	7	63
11	8	62
12	9	61
13	9	61
14	10	60
15	11	59
16	11	58
17	12	58
18	13	57
19	14	56
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	45
35	25	44
36	25	44
37	26	43
38	27	42
39	27	41
40	28	41
41	28	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	33	35
48	33	35
49	34	34
50	35	33
51	35	32
52	36	32
53	37	31
54	37	30
55	38	29
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	42	25
62	42	25
63	43	24
64	44	23
65	44	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
